hour_of_week,mean_bikes
0,9.182
1,9.182
2,9.182
3,9.182
4,9.076
5,9.712
6,10.621
7,12.818
8,17.848
9,20.379
10,20.379
11,19.803
12,19.152
13,19.015
14,18.667
15,15.939
16,11.697
17,7.697
18,7.303
19,8.47
20,9.015
21,9.045
22,9.182
23,9.538
24,10.111
25,9.909
26,9.909
27,9.909
28,9.97
29,10.242
30,10.758
31,13.318
32,23.106
33,25.258
34,24.409
35,23.152
36,21.197
37,21.394
38,20.258
39,16.424
40,7.909
41,3.924
42,5.636
43,6.455
44,7.061
45,7.015
46,6.182
47,6.077
48,6.169
49,6.364
50,6.364
51,6.364
52,6.333
53,7.545
54,8.333
55,11.833
56,20.136
57,23.227
58,23.727
59,22.727
60,20.818
61,22.288
62,21.773
63,17.636
64,11.091
65,6.106
66,4.742
67,4.288
68,4.712
69,4.894
70,5.318
71,6.4
72,6.712
73,6.727
74,6.727
75,6.727
76,6.788
77,7.894
78,8.197
79,10.182
80,17.924
81,23.379
82,24.682
83,23.076
84,21.03
85,20.136
86,18.621
87,15.667
88,9.167
89,4.364
90,3.03
91,1.864
92,2.045
93,2.894
94,3.242
95,3.333
96,3.273
97,3.273
98,3.273
99,3.273
100,3.106
101,3.773
102,5.136
103,7.03
104,9.712
105,10.924
106,10.788
107,10.364
108,9.652
109,9.076
110,9.561
111,8.697
112,7.015
113,6.682
114,6.848
115,6.394
116,6.348
117,6.47
118,6.273
119,5.833
120,6.015
121,6.197
122,6.273
123,6.273
124,6.333
125,6.394
126,6.394
127,6.47
128,6.667
129,6.621
130,5.864
131,5.409
132,6.606
133,8.545
134,9.53
135,9.879
136,9.439
137,10.0
138,9.758
139,8.758
140,9.03
141,8.167
142,7.833
143,8.015
144,8.451
145,8.833
146,8.833
147,8.833
148,8.847
149,9.014
150,9.375
151,9.458
152,9.431
153,9.125
154,9.097
155,9.167
156,8.514
157,8.542
158,8.486
159,9.528
160,9.333
161,8.542
162,7.986
163,7.569
164,7.347
165,7.597
166,8.264
167,8.583
